
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1948
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       6808
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       10244
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       3640
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       15764
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       5256
  TCP    0.0.0.0:8085           0.0.0.0:0              LISTENING       21576
  TCP    0.0.0.0:9101           0.0.0.0:0              LISTENING       10256
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       6808
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1588
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1428
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2512
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3284
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       5404
  TCP    0.0.0.0:49681          0.0.0.0:0              LISTENING       1568
  TCP    0.0.0.0:52366          0.0.0.0:0              LISTENING       10256
  TCP    10.93.34.238:139       0.0.0.0:0              LISTENING       4
  TCP    10.93.34.238:51481     40.79.197.35:443       TIME_WAIT       0
  TCP    10.93.34.238:53102     23.211.137.130:443     ESTABLISHED     35224
  TCP    10.93.34.238:53612     34.54.84.110:443       TIME_WAIT       0
  TCP    10.93.34.238:54570     34.54.84.110:443       ESTABLISHED     34136
  TCP    10.93.34.238:56439     54.169.7.73:80         ESTABLISHED     4616
  TCP    10.93.34.238:56971     13.107.137.11:443      ESTABLISHED     14640
  TCP    10.93.34.238:57112     34.54.84.110:443       TIME_WAIT       0
  TCP    10.93.34.238:57537     34.54.84.110:443       TIME_WAIT       0
  TCP    10.93.34.238:59037     52.104.144.41:443      ESTABLISHED     14640
  TCP    10.93.34.238:60758     13.215.137.26:80       TIME_WAIT       0
  TCP    10.93.34.238:60759     13.215.137.26:80       TIME_WAIT       0
  TCP    10.93.34.238:60760     13.215.137.26:80       TIME_WAIT       0
  TCP    10.93.34.238:60761     13.215.137.26:80       TIME_WAIT       0
  TCP    10.93.34.238:60950     51.116.253.168:443     TIME_WAIT       0
  TCP    10.93.34.238:61817     52.182.143.210:443     ESTABLISHED     14640
  TCP    10.93.34.238:62720     52.182.141.63:443      TIME_WAIT       0
  TCP    10.93.34.238:64598     54.169.7.73:80         ESTABLISHED     6464
  TCP    127.0.0.1:5432         127.0.0.1:53331        ESTABLISHED     3640
  TCP    127.0.0.1:5432         127.0.0.1:53332        ESTABLISHED     3640
  TCP    127.0.0.1:5432         127.0.0.1:53333        ESTABLISHED     3640
  TCP    127.0.0.1:5432         127.0.0.1:53334        ESTABLISHED     3640
  TCP    127.0.0.1:5432         127.0.0.1:53335        ESTABLISHED     3640
  TCP    127.0.0.1:5432         127.0.0.1:53337        ESTABLISHED     3640
  TCP    127.0.0.1:5432         127.0.0.1:53338        ESTABLISHED     3640
  TCP    127.0.0.1:5432         127.0.0.1:53339        ESTABLISHED     3640
  TCP    127.0.0.1:5432         127.0.0.1:53340        ESTABLISHED     3640
  TCP    127.0.0.1:5432         127.0.0.1:53341        ESTABLISHED     3640
